Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Acer,negundo,FMA,17,126.4706,-3.3856,0.20691,3.9134,0.06657,ffd,
Acer,pensylvanicum,MAJ,13,137.3846,-3.6042,0.39619,7.2177,0.021158,ffd,
Achillea,millefolium,NDJ-1,22,159.5,4.8257,0.13288,3.0649,0.095327,ffd,
Acorus,calamus,AMJ,16,150.875,-4.1462,0.17177,2.9035,0.11047,ffd,
Actaea,pachypoda,MJJ,20,144.8,-7.2746,0.23636,5.5712,0.029746,ffd,
Actaea,rubra,JJA,19,144.6316,-4.9023,0.13922,2.7495,0.11562,ffd,
Adlumia,fungosa,DJF-1,10,183.5,3.3994,0.25173,2.6913,0.13952,ffd,
Aegopodium,podagraria,JFM,22,193.0455,-3.2417,0.13704,3.1761,0.089913,ffd,
Alisma,triviale,MAJ,21,200.4762,-4.9898,0.24699,6.2322,0.021904,ffd,
Allium,canadense,JFM,21,161.1905,-2.567,0.079207,1.6344,0.21649,ffd,
Amaranthus,retroflexus,NDJ-1,16,195.1875,4.4426,0.14093,2.2967,0.1519,ffd,
Ambrosia,artemisiifolia,MAJ,19,216.1053,3.0123,0.13253,2.5972,0.12546,ffd,
Amelanchier,canadensis,FMA,24,121.875,-3.6329,0.64086,39.2573,2.6344e-06,ffd,
Amphicarpa,bracteata,AMJ,19,222.7895,-8.4919,0.44221,13.4776,0.0018926,ffd,
Anagallis,arvensis,NDJ-1,12,157.75,6.8891,0.35791,5.5741,0.039888,ffd,
Anaphalis,margaritacea,MJJ,21,202.9524,-5.4081,0.16787,3.833,0.065105,ffd,
Andromeda,glaucophylla,MAJ,20,139,-6.1495,0.21635,4.9695,0.038776,ffd,
Anemone,quinquefolia,JFM,24,116.125,-2.991,0.37282,13.0778,0.0015301,ffd,
Anemone,virginiana,AMJ,17,184.1765,-4.5431,0.15152,2.6787,0.1225,ffd,
Anemonella,thalictroides,JFM,23,118.7391,-3.498,0.57315,28.1981,2.8921e-05,ffd,
Angelica,atropurpurea,NDJ-1,18,162,-2.4533,0.29666,6.7487,0.019426,ffd,
Anthemis,cotula,JAS,21,170.1905,-6.8147,0.45849,16.0871,0.00074739,ffd,
Apios,americana,MJJ,21,221.5714,-5.336,0.1932,4.5499,0.046181,ffd,
Apocynum,androsaemifolium,JAS,19,172.0526,3.523,0.21298,4.6006,0.046704,ffd,
Apocynum,cannabinum,SON,18,184.5556,-15.0918,0.33882,8.1992,0.011263,ffd,
Aquilegia,canadensis,NDJ-1,24,115.8333,-2.291,0.11709,2.9175,0.1017,ffd,
Aquilegia,vulgaris,MAJ,14,154.2143,-10.9613,0.55455,14.9391,0.0022477,ffd,
Aralia,hispida,AMJ,20,166.45,-5.0205,0.35731,10.0072,0.0053777,ffd,
Aralia,nudicaulis,MAJ,23,139.8261,-2.6813,0.32964,10.3263,0.0041712,ffd,
Aralia,racemosa,OND-1,16,193.8125,4.5584,0.14184,2.314,0.15048,ffd,
Arctium,minus,JAS,21,207.1905,2.1376,0.1542,3.464,0.078266,ffd,
Arctostaphylos,uva-ursi,FMA,17,127.1765,-4.236,0.14683,2.5815,0.12896,ffd,
Arenaria,lateriflora,MAJ,22,146.7273,-4.4619,0.35715,11.1115,0.0033123,ffd,
Arenaria,serpyllifolia,JJA,18,143.6111,5.9773,0.34525,8.4368,0.010341,ffd,
Arethusa,bulbosa,MAJ,21,145.1429,-4.9143,0.63366,32.8644,1.5905e-05,ffd,
Arisaema,atrorubens,JFM,25,128.52,-2.7045,0.42265,16.8374,0.0004351,ffd,
Armoracia,rusticana,MAJ,19,145,-6.2824,0.58875,24.3371,0.00012603,ffd,
Artemisia,absinthium,MAJ,13,207.3077,-2.7832,0.22068,3.115,0.10529,ffd,
Asarum,canadense,FMA,16,116,-5.8349,0.57235,18.7368,0.00069408,ffd,
Asclepias,incarnata,MJJ,21,185.4286,-6.4336,0.43711,14.7544,0.0011013,ffd,
Asclepias,syriaca,AMJ,22,174,-5.3023,0.57156,26.6813,4.7048e-05,ffd,
Asparagus,officinalis,MAJ,17,151.2941,-6.8314,0.39482,9.7862,0.0069063,ffd,
Aster,acuminatus,DJF-1,16,227.75,6.2254,0.15397,2.5478,0.13277,ffd,
Aster,cordifolius,JAS,17,224.9412,13.3207,0.55552,18.7471,0.00059507,ffd,
Aster,divaricatus,FMA,6,220.5,-2.8118,0.72232,10.4053,0.032105,ffd,
Aster,dumosus,JAS,20,219.6,5.0517,0.21236,4.8531,0.040866,ffd,
Aster,laevis,SON,16,234.5625,-9.3231,0.1979,3.4541,0.084246,ffd,
Aster,linariifolius,AMJ,21,203.8095,-8.8494,0.13659,3.0057,0.099167,ffd,
Aster,macrophyllus,OND-1,18,212,3.8109,0.081028,1.4108,0.25226,ffd,
Aster,novae-angliae,NDJ-1,14,253.7143,2.5431,0.22857,3.5554,0.083786,ffd,
Aster,novi-belgii,OND-1,15,237.5333,-7.816,0.32067,6.1366,0.027755,ffd,
Aster,patens,OND-1,17,221.0588,6.7656,0.1656,2.9769,0.105,ffd,
Aster,puniceus,NDJ-1,18,238.0556,-5.7138,0.20797,4.2012,0.057156,ffd,
Aster,radula,DJF-1,17,216.8235,2.3828,0.11684,1.9844,0.17932,ffd,
Aster,simplex,JJA,5,242,9.803,0.83577,15.2669,0.029776,ffd,
Aster,umbellatus,ASO,20,212.1,4.5426,0.13573,2.8268,0.10997,ffd,
Aster,undulatus,OND-1,16,231,5.4295,0.33178,6.9511,0.019537,ffd,
Aster,vimineus,AMJ,19,220.1579,-9.4253,0.35837,9.4952,0.0067685,ffd,
Aureolaria,flava,AMJ,18,218.7222,-7.4547,0.20206,4.0517,0.06127,ffd,
Baptisia,tinctoria,MJJ,22,180.8182,-6.4936,0.14397,3.3635,0.081578,ffd,
Barbarea,vulgaris,MAJ,21,130.0476,-6.1108,0.49927,18.9444,0.00034282,ffd,
Berberis,vulgaris,FMA,23,142.087,-3.9437,0.26027,7.3889,0.012877,ffd,
Bidens,cernua,AMJ,15,239.5333,-5.0329,0.23726,4.0439,0.065543,ffd,
Bidens,frondosa,MAJ,18,234.0556,-1.5863,0.058307,0.99068,0.33439,ffd,
Bidens,laevis,MAJ,18,240.7778,-2.979,0.10293,1.8359,0.19425,ffd,
Boehmeria,cylindrica,ASO,20,207.45,-6.2603,0.18042,3.9625,0.061928,ffd,
Brasenia,schreberi,OND-1,20,192.5,-7.814,0.3082,8.0192,0.011056,ffd,
Calla,palustris,MAJ,16,135.25,-4.923,0.57456,18.907,0.00066829,ffd,
Calopogon,pulchellus,DJF-1,18,168.6111,-4.7507,0.48313,14.9556,0.0013648,ffd,
Caltha,palustris,NDJ-1,26,108.6154,-5.3907,0.39854,15.9029,0.00054335,ffd,
Campanula,aparinoides,FMA,17,190.4118,2.043,0.043313,0.6791,0.42281,ffd,
Campanula,rapunculoides,MJJ,14,192.5714,-5.5521,0.21479,3.2825,0.095106,ffd,
Campanula,rotundifolia,FMA,16,198.75,4.4749,0.10572,1.655,0.21914,ffd,
Cannabis,sativa,NDJ-1,5,217.2,-2.8672,0.90072,27.219,0.013693,ffd,
Capsella,bursa-pastoris,DJF-1,25,102.8,-8.1944,0.18204,5.1186,0.033425,ffd,
Cardamine,bulbosa,NDJ-1,15,137.6,-3.401,0.23909,4.0849,0.064358,ffd,
Cardamine,diphylla,FMA,13,120.2308,-6.2473,0.73904,31.1517,0.00016483,ffd,
Cardamine,pensylvanica,MJJ,5,133.6,-3.2993,0.32179,1.4234,0.31859,ffd,
Cardamine,pratensis,FMA,16,127.3125,-4.8654,0.37058,8.2427,0.012328,ffd,
Carum,carvi,FMA,15,156.8667,-2.78,0.11059,1.6165,0.22586,ffd,
Cassia,fasciculata,JFM,10,216.6,3.6339,0.2649,2.8829,0.12795,ffd,
Castilleja,coccinea,MAJ,16,139.75,-3.8498,0.15174,2.5044,0.13585,ffd,
Caulophyllum,thalictroides,FMA,15,118.8667,-3.6967,0.41059,9.0558,0.010058,ffd,
Ceanothus,americanus,MAJ,18,179.8889,-3.2283,0.37916,9.7714,0.006516,ffd,
Celastrus,scandens,MAJ,20,156.7,-4.0178,0.37641,10.8651,0.0040146,ffd,
Cephalanthus,occidentalis,MJJ,22,195.6364,-4.4441,0.34458,10.5149,0.0040786,ffd,
Cerastium,vulgatum,MAJ,22,131.7727,-5.5733,0.32521,9.639,0.0055854,ffd,
Chamaedaphne,calyculata,JFM,24,112.5417,-3.1374,0.50433,22.3846,0.0001012,ffd,
Chelidonium,majus,MAJ,23,133.3043,-5.5225,0.66613,41.8993,2.0529e-06,ffd,
Chelone,glabra,MJJ,20,220.95,-6.9575,0.22081,5.101,0.036563,ffd,
Chenopodium,album,FMA,19,181.7895,-4.5177,0.19228,4.0468,0.060382,ffd,
Chimaphila,umbellata,NDJ-1,18,181.8333,-2.9913,0.16879,3.2491,0.090328,ffd,
Chrysanthemum,leucanthemum,AMJ,22,148.5455,-3.6502,0.12804,2.9369,0.10204,ffd,
Cichorium,intybus,NDJ-1,23,183.7826,-2.9211,0.27153,7.8276,0.010783,ffd,
Cicuta,bulbifera,AMJ,19,206.2632,-6.9265,0.20232,4.3117,0.05333,ffd,
Cicuta,maculata,AMJ,21,188.3333,-3.8788,0.079726,1.646,0.21493,ffd,
Circaea,quadrisulcata,AMJ,22,186.5,-2.9859,0.083154,1.8139,0.1931,ffd,
Cirsium,arvense,JFM,18,188.8889,-1.3026,0.071207,1.2267,0.28443,ffd,
Cirsium,vulgare,NDJ-1,21,205.9048,-1.4721,0.12334,2.6732,0.11851,ffd,
Claytonia,caroliniana,FMA,13,112.7692,-4.9274,0.59854,16.4003,0.0019164,ffd,
Claytonia,virginica,JFM,19,110.7368,-3.7165,0.22936,5.0596,0.038031,ffd,
Clematis,virginiana,JJA,20,206.8,5.7109,0.30412,7.8664,0.011718,ffd,
Clethra,alnifolia,MJJ,22,209.4091,-5.1576,0.39447,13.029,0.001749,ffd,
Clintonia,borealis,AMJ,20,148.3,-5.659,0.37555,10.8254,0.0040684,ffd,
Comandra,umbellata,MAJ,21,141.2857,-2.9117,0.16938,3.8745,0.06379,ffd,
Comptonia,peregrina,FMA,5,121.4,-2.2452,0.75358,9.1742,0.05636,ffd,
Convallaria,majalis,MAJ,17,130.9412,-5.4204,0.5564,18.8146,0.00058584,ffd,
Convolvulus,sepium,AMJ,21,170.8095,-3.3936,0.33371,9.516,0.0060982,ffd,
Coptis,trifolia,FMA,24,130.25,-4.6597,0.41214,15.4242,0.00071988,ffd,
Corallorhiza,maculata,NDJ-1,17,215.9412,-3.5814,0.22071,4.2482,0.05707,ffd,
Cornus,alternifolia,MAJ,21,155.6667,-3.7019,0.40578,12.9749,0.0018995,ffd,
Cornus,amomum,DJF-1,5,177.6,-3.4132,0.8272,14.3607,0.032233,ffd,
Cornus,canadensis,MAJ,23,144,-3.4403,0.30686,9.2968,0.0060968,ffd,
Cornus,florida,MAJ,22,137.1364,-3.4128,0.33239,9.9578,0.0049751,ffd,
Cornus,racemosa,AMJ,20,168.85,-4.3319,0.27081,6.685,0.018657,ffd,
Cornus,rugosa,OND-1,19,169.0526,-3.1084,0.19013,3.991,0.062004,ffd,
Cornus,stolonifera,MAJ,9,159.6667,-4.0973,0.156,1.2939,0.29277,ffd,
Coronilla,varia,OND-1,14,186,-8.3126,0.26892,4.4141,0.057445,ffd,
Corydalis,sempervirens,AMJ,16,144.25,-2.9508,0.044393,0.65037,0.43347,ffd,
Crataegus,crus-galli,AMJ,15,146.2667,-4.1386,0.38115,8.0066,0.014202,ffd,
Crotalaria,sagittalis,MAJ,18,209.4444,-9.5183,0.42142,11.6539,0.0035553,ffd,
Cuscuta,gronovii,MAJ,21,210.9524,-4.0133,0.21085,5.0767,0.036261,ffd,
Cypripedium,acaule,MAJ,25,141.36,-3.4855,0.39243,14.8557,0.00080722,ffd,
Daucus,carota,JFM,21,186.6667,-6.2138,0.4716,16.9579,0.0005852,ffd,
Decodon,verticillatus,DJF-1,15,225.4667,4.1894,0.23289,3.9468,0.068456,ffd,
Desmodium,canadense,AMJ,18,217.7222,-3.6762,0.12039,2.1899,0.15834,ffd,
Desmodium,marilandicum,JFM,19,222.7368,2.9012,0.19027,3.9946,0.061899,ffd,
Desmodium,nudiflorum,AMJ,20,211.2,-6.028,0.36984,10.5642,0.0044429,ffd,
Desmodium,rigidum,OND-1,14,230.9286,-7.2222,0.23578,3.7024,0.078373,ffd,
Desmodium,rotundifolium,JFM,16,219.3125,2.7612,0.17454,2.9603,0.10735,ffd,
Dianthus,armeria,DJF-1,16,183.25,-8.1108,0.16117,2.69,0.12325,ffd,
Diervilla,lonicera,AMJ,22,165.7727,-5.1995,0.2007,5.0219,0.036536,ffd,
Doellingeria,infirma,NDJ-1,15,223.8667,7.8504,0.41725,9.3079,0.0092842,ffd,
Draba,verna,NDJ-1,6,114,-8.9842,0.66598,7.9755,0.04763,ffd,
Drosera,intermedia,JJA,20,195.6,7.6387,0.26846,6.6056,0.019271,ffd,
Drosera,rotundifolia,DJF-1,17,202.9412,5.6357,0.21713,4.1602,0.059402,ffd,
Echinocystis,lobata,JAS,16,202.375,-18.4313,0.30904,6.2617,0.025352,ffd,
Epigaea,repens,FMA,23,106.5652,-3.3743,0.23826,6.5685,0.018127,ffd,
Epilobium,angustifolium,AMJ,20,175.65,-3.7525,0.16137,3.4637,0.079144,ffd,
Epilobium,coloratum,JJA,22,205.4545,7.1723,0.16201,3.8668,0.063284,ffd,
Epilobium,leptophyllum,FMA,12,222.1667,-7.297,0.26689,3.6406,0.085482,ffd,
Erechtites,hieracifolia,OND-1,18,214,5.4273,0.32761,7.7958,0.013052,ffd,
Erigeron,annuus,MAJ,17,180.1176,-18.6336,0.40259,10.1084,0.0062211,ffd,
Erigeron,canadensis,AMJ,20,192.7,-5.8227,0.1527,3.2439,0.088468,ffd,
Erigeron,philadelphicus,MAJ,17,165.0588,-9.9223,0.52046,16.2803,0.00108,ffd,
Erigeron,pulchellus,MAJ,22,142.1818,-4.8606,0.26559,7.2328,0.014102,ffd,
Erythronium,americanum,OND-1,10,121.9,3.553,0.46595,6.9799,0.029624,ffd,
