Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Acer,negundo,Annual,17,126.4706,-5.854,0.23276,4.5505,0.049835,ffd,
Acer,pensylvanicum,Annual,13,137.3846,-2.7329,0.093053,1.1286,0.31084,ffd,
Achillea,millefolium,Annual,22,159.5,-5.0971,0.04046,0.84333,0.36939,ffd,
Acorus,calamus,Annual,16,150.875,-1.3531,0.01113,0.15757,0.69739,ffd,
Actaea,pachypoda,Annual,20,144.8,-6.2395,0.17783,3.8932,0.06404,ffd,
Actaea,rubra,Annual,19,144.6316,-4.3674,0.055589,1.0006,0.33118,ffd,
Adlumia,fungosa,Annual,10,183.5,4.4129,0.054346,0.45975,0.51687,ffd,
Aegopodium,podagraria,Annual,22,193.0455,-1.9084,0.013201,0.26755,0.61065,ffd,
Alisma,triviale,Annual,21,200.4762,-5.0422,0.1019,2.1558,0.1584,ffd,
Allium,canadense,Annual,21,161.1905,-3.8666,0.051991,1.042,0.32018,ffd,
Amaranthus,retroflexus,Annual,16,195.1875,1.892,0.0055574,0.078238,0.78379,ffd,
Ambrosia,artemisiifolia,Annual,19,216.1053,1.6883,0.015458,0.26691,0.61207,ffd,
Amelanchier,canadensis,Annual,24,121.875,-5.6479,0.59607,32.4645,9.9082e-06,ffd,
Amphicarpa,bracteata,Annual,19,222.7895,-13.0017,0.45815,14.3739,0.0014582,ffd,
Anagallis,arvensis,Annual,12,157.75,-1.06,0.0017672,0.017703,0.89679,ffd,
Anaphalis,margaritacea,Annual,21,202.9524,-1.3709,0.0089931,0.17242,0.68262,ffd,
Andromeda,glaucophylla,Annual,20,139,-12.6195,0.23369,5.4893,0.030822,ffd,
Anemone,quinquefolia,Annual,24,116.125,-1.6146,0.036775,0.83993,0.36936,ffd,
Anemone,virginiana,Annual,17,184.1765,-5.656,0.15018,2.6507,0.12432,ffd,
Anemonella,thalictroides,Annual,23,118.7391,-5.0498,0.36726,12.1891,0.0021766,ffd,
Angelica,atropurpurea,Annual,18,162,-6.3443,0.40138,10.7283,0.0047596,ffd,
Anthemis,cotula,Annual,21,170.1905,-8.7975,0.49485,18.6129,0.00037402,ffd,
Apios,americana,Annual,21,221.5714,-2.5307,0.040337,0.79862,0.38269,ffd,
Apocynum,androsaemifolium,Annual,19,172.0526,0.94792,0.0065926,0.11282,0.74107,ffd,
Apocynum,cannabinum,Annual,18,184.5556,-20.2537,0.34607,8.4674,0.010229,ffd,
Aquilegia,canadensis,Annual,24,115.8333,-0.49947,0.0021494,0.047389,0.82968,ffd,
Aquilegia,vulgaris,Annual,14,154.2143,-6.9784,0.087763,1.1545,0.30374,ffd,
Aralia,hispida,Annual,20,166.45,-7.3564,0.5268,20.0386,0.00029177,ffd,
Aralia,nudicaulis,Annual,23,139.8261,-1.7619,0.079324,1.8093,0.19294,ffd,
Aralia,racemosa,Annual,16,193.8125,2.0103,0.0091189,0.12884,0.72499,ffd,
Arctium,minus,Annual,21,207.1905,1.5518,0.031294,0.61379,0.44302,ffd,
Arctostaphylos,uva-ursi,Annual,17,127.1765,-7.5801,0.073828,1.1957,0.29143,ffd,
Arenaria,lateriflora,Annual,22,146.7273,-2.2409,0.036798,0.76408,0.39243,ffd,
Arenaria,serpyllifolia,Annual,18,143.6111,1.8395,0.014929,0.24249,0.6291,ffd,
Arethusa,bulbosa,Annual,21,145.1429,-5.9688,0.30716,8.4235,0.0091318,ffd,
Arisaema,atrorubens,Annual,25,128.52,-3.992,0.31195,10.4278,0.0037102,ffd,
Armoracia,rusticana,Annual,19,145,-5.2039,0.17539,3.6158,0.074322,ffd,
Artemisia,absinthium,Annual,13,207.3077,-4.0311,0.12964,1.6384,0.22688,ffd,
Asarum,canadense,Annual,16,116,-7.5989,0.22166,3.9869,0.065679,ffd,
Asclepias,incarnata,Annual,21,185.4286,-3.835,0.14417,3.2006,0.089565,ffd,
Asclepias,syriaca,Annual,22,174,-3.8167,0.18894,4.6591,0.04322,ffd,
