"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult","precintra","precinter"
"concord",NA,"ffd",1851,183,"1851-07-02","Asclepias","syriaca",0,NA,NA,NA,17
"concord",NA,"ffd",1851,220,"1851-08-08","Bartonia","virginica",0,NA,NA,NA,4
"concord",NA,"ffd",1851,190,"1851-07-09","Cichorium","intybus",0,NA,NA,NA,3
"concord",NA,"ffd",1851,115,"1851-04-25","Epigaea","repens",0,NA,NA,NA,3
"concord",NA,"ffd",1851,134,"1851-05-14","Fragaria","virginiana",0,NA,NA,NA,13
"concord",NA,"ffd",1851,241,"1851-08-29","Aureolaria","flava",2,NA,NA,NA,14
"concord",NA,"ffd",1851,227,"1851-08-15","Gerardia","paupercula",0,NA,NA,NA,7
"concord",NA,"ffd",1851,145,"1851-05-25","Glechoma","hederacea",0,NA,NA,NA,6
"concord",NA,"ffd",1851,202,"1851-07-21","Hieracium","scabrum",0,NA,NA,NA,5
"concord",NA,"ffd",1851,166,"1851-06-15","Hieracium","venosum",0,NA,NA,NA,1
"concord",NA,"ffd",1851,115,"1851-04-25","Houstonia","caerulea",0,NA,NA,NA,3
"concord",NA,"ffd",1851,166,"1851-06-15","Kalmia","angustifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1851,184,"1851-07-03","Kalmia","latifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1851,121,"1851-05-01","Lindera","benzoin",0,NA,NA,NA,6
"concord",NA,"ffd",1851,160,"1851-06-09","Linnaea","borealis",0,NA,NA,NA,12
"concord",NA,"ffd",1851,197,"1851-07-16","Lysimachia","ciliata",0,NA,NA,NA,7
"concord",NA,"ffd",1851,138,"1851-05-18","Malus","malus",0,NA,NA,NA,4
"concord",NA,"ffd",1851,244,"1851-09-01","Megalodonta","beckii",0,NA,NA,NA,1
"concord",NA,"ffd",1851,203,"1851-07-22","Monotropa","uniflora",0,NA,NA,NA,1
"concord",NA,"ffd",1851,121,"1851-05-01","Nuphar","variegata",2,NA,NA,NA,6
"concord",NA,"ffd",1851,187,"1851-07-06","Phytolacca","americana",0,NA,NA,NA,3
"concord",NA,"ffd",1851,139,"1851-05-19","Polygala","pauciflora",0,NA,NA,NA,1
"concord",NA,"ffd",1851,166,"1851-06-15","Prunella","vulgaris",0,NA,NA,NA,1
