"site","genus","species"
"concord","Ranunculus","abortivus"
"fargo","Ranunculus","abortivus"
"concord","Artemisia","absinthium"
"fitter","Carduus","acanthoides"
"fitter","Cirsium","acaule"
"concord","Cypripedium","acaule"
"fitter","Erigeron","acer"
"concord","Viburnum","acerifolium"
"fitter","Rumex","acetosa"
"fitter","Oxalis","acetosella"
"concord","Rumex","acetosella"
"fitter","Rumex","acetosella"
"fargo","Polygonum","achoreum"
"concord","Sedum","acre"
"fitter","Sedum","acre"
"concord","Ranunculus","acris"
"fitter","Ranunculus","acris"
"concord","Aster","acuminatus"
"fargo","Cotoneaster","acutifolius"
"fitter","Carex","acutiformis"
"fargo","Alopecurus","aequalis"
"concord","Vitis","aestivalis"
"konza","Lythrum","alatum"
"fargo","Cornus","alba"
"concord","Melilotus","alba"
"fargo","Melilotus","alba"
"concord","Prenanthes","alba"
"fitter","Sinapis","alba"
"concord","Spiraea","alba"
"fargo","Spiraea","alba"
"fargo","Penstemon","albidus"
"concord","Chenopodium","album"
"fargo","Chenopodium","album"
"fitter","Chenopodium","album"
"fitter","Lamium","album"
"fargo","Dictamnus","albus"
"konza","Callirhoe","alcaeoides"
"concord","Geum","aleppicum"
"fargo","Amelanchier","alnifolia"
"concord","Clethra","alnifolia"
"concord","Cornus","alternifolia"
"concord","Ludwigia","alternifolia"
"konza","Verbesina","alternifolia"
"konza","Cirsium","altissimum"
"konza","Eupatorium","altissimum"
"fargo","Sisymbrium","altissimum"
"fitter","Melilotus","altissimus"
"fitter","Gentianella","amarella"
"concord","Apios","americana"
"fargo","Corylus","americana"
"concord","Phytolacca","americana"
"konza","Phytolacca","americana"
"concord","Prunus","americana"
"fargo","Prunus","americana"
"konza","Prunus","americana"
"fargo","Tilia","americana"
"fargo","Ulmus","americana"
"konza","Ulmus","americana"
"fargo","Vicia","americana"
"konza","Vicia","americana"
"concord","Erythronium","americanum"
"fargo","Ribes","americanum"
"fargo","Zanthoxylum","americanum"
"konza","Zanthoxylum","americanum"
"concord","Ceanothus","americanus"
"concord","Lycopus","americanus"
"konza","Lycopus","americanus"
"concord","Cornus","amomum"
"fitter","Sison","amomum"
"fitter","Rorippa","amphibia"
"concord","Lamium","amplexicaule"
"fitter","Euphorbia","amygdaloides"
"fargo","Salix","amygdaloides"
"concord","Gentiana","andrewsii"
"concord","Apocynum","androsaemifolium"
"fargo","Apocynum","androsaemifolium"
"concord","Sicyos","angulatus"
"fargo","Echinacea","angustifolia"
"konza","Echinacea","angustifolia"
"fargo","Elaeagnus","angustifolia"
"concord","Kalmia","angustifolia"
"fitter","Poa","angustifolia"
"fitter","Chamaenerion","angustifolium"
"concord","Epilobium","angustifolium"
"concord","Sisyrinchium","angustifolium"
"fargo","Sisyrinchium","angustifolium"
"concord","Vaccinium","angustifolium"
"fitter","Lunaria","annua"
"fargo","Poa","annua"
"concord","Erigeron","annuus"
"konza","Erigeron","annuus"
"konza","Helianthus","annuus"
"concord","Scleranthus","annuus"
"fitter","Potentilla","anserina"
"concord","Silene","antirrhina"
"concord","Galium","aparine"
"fargo","Galium","aparine"
"fitter","Galium","aparine"
"concord","Campanula","aparinoides"
"fitter","Ophrys","apifera"
"fargo","Antennaria","aprica"
"fargo","Zizia","aptera"
"fitter","Mentha","aquatica"
"fitter","Ilex","aquifolium"
"fitter","Mahonia","aquifolium"
"fitter","Pteridium","aquilinum"
"fargo","Caragana","arborescens"
"fargo","Elaeagnus","argentea"
"concord","Potentilla","argentea"
"fargo","Shepherdia","argentea"
"fargo","Psoralea","argophylla"
"konza","Psoralea","argophylla"
"concord","Potentilla","arguta"
"fargo","Potentilla","arguta"
"fargo","Spiraea","arguta"
"fitter","Sorbus","aria"
"concord","Polygonum","arifolium"
"fargo","Gaillardia","aristata"
"fargo","Rosa","arkansana"
"konza","Rosa","arkansana"
"fargo","Prunus","armeniaca"
"concord","Dianthus","armeria"
"concord","Silene","armeria"
"konza","Rhus","aromatica"
"fargo","Ambrosia","artemisifolia"
"concord","Ambrosia","artemisiifolia"
"fitter","Festuca","arundinacea"
"fargo","Cerastium","arvense"
"concord","Cirsium","arvense"
"fargo","Cirsium","arvense"
"fitter","Cirsium","arvense"
"fitter","Equisetum","arvense"
"fargo","Thlaspi","arvense"
"concord","Trifolium","arvense"
"concord","Anagallis","arvensis"
"fitter","Anagallis","arvensis"
"fargo","Brassica","arvensis"
"fargo","Convolvulus","arvensis"
"fitter","Convolvulus","arvensis"
"fitter","Knautia","arvensis"
"concord","Mentha","arvensis"
"fitter","Mentha","arvensis"
"concord","Myosotis","arvensis"
"fitter","Myosotis","arvensis"
"fitter","Rosa","arvensis"
"fargo","Sonchus","arvensis"
"fitter","Sonchus","arvensis"
"concord","Spergula","arvensis"
"concord","Veronica","arvensis"
"fitter","Veronica","arvensis"
"fitter","Viola","arvensis"
"concord","Sonchus","asper"
"fitter","Sonchus","asper"
"konza","Agalinis","aspera"
"fargo","Liatris","aspera"
"konza","Liatris","aspera"
"fargo","Erysimum","asperum"
"concord","Galium","asprellum"
"concord","Sericocarpus","asteroides"
"concord","Sisyrinchium","atlanticum"
"concord","Angelica","atropurpurea"
"concord","Arisaema","atrorubens"
"fitter","Sorbus","aucuparia"
"concord","Triosteum","aurantiacum"
"fargo","Corydalis","aurea"
"concord","Gratiola","aurea"
"concord","Zizia","aurea"
"fargo","Zizia","aurea"
"konza","Zizia","aurea"
"concord","Trifolium","aureum"
"concord","Senecio","aureus"
"fitter","Ranunculus","auricomus"
"fitter","Scrophularia","auriculata"
"konza","Baptisia","australis"
"fitter","Phragmites","australis"
"concord","Leontodon","autumnalis"
"fitter","Leontodon","autumnalis"
"fitter","Corylus","avellana"
"concord","Polygonum","aviculare"
"fargo","Polygonum","aviculare"
"fitter","Polygonum","aviculare"
"fitter","Prunus","avium"
"konza","Salvia","azurea"
"concord","Gaylussacia","baccata"
"fargo","Malus","baccata"
"fitter","Taxus","baccata"
"konza","Vernonia","baldwinii"
"fitter","Veronica","beccabunga"
"concord","Megalodonta","beckii"
"fitter","Atropa","bella-donna"
"concord","Lindera","benzoin"
"fitter","Phleum","bertolonii"
"fitter","Carpinus","betulus"
"concord","Solidago","bicolor"
"fitter","Crepis","biennis"
"concord","Lactuca","biennis"
"concord","Oenothera","biennis"
"fargo","Oenothera","biennis"
"konza","Oenothera","biennis"
"fargo","Catalpa","bignonioides"
"konza","Glandularia","bipinnatifida"
"fargo","Carex","blanda"
"fargo","Rosa","blanda"
"concord","Viola","blanda"
"konza","Verbascum","blattaria"
"concord","Habenaria","blephariglottis"
"fargo","Galium","boreale"
"concord","Clintonia","borealis"
"concord","Liatris","borealis"
"concord","Linnaea","borealis"
"concord","Trientalis","borealis"
"concord","Amphicarpa","bracteata"
"konza","Amphicarpaea","bracteata"
"konza","Baptisia","bracteata"
"fargo","Tradescantia","bracteata"
"konza","Tradescantia","bracteata"
"concord","Viola","brittoniana"
"concord","Cicuta","bulbifera"
"concord","Arethusa","bulbosa"
"concord","Cardamine","bulbosa"
"concord","Ranunculus","bulbosus"
"fitter","Ranunculus","bulbosus"
"concord","Capsella","bursa-pastoris"
"fargo","Capsella","bursa-pastoris"
"concord","Houstonia","caerulea"
"fitter","Rubus","caesius"
"concord","Acorus","calamus"
"fitter","Polygala","calcarea"
"concord","Chamaedaphne","calyculata"
"fitter","Acer","campestre"
"concord","Lepidium","campestre"
"konza","Sisyrinchium","campestre"
