site,genus,species,genus.update,species.update,native/exotic,invasive/noxious,pollination (wind/animal/self),animal_type,lifeform,duration,resources,notes
arnell,Acer,platanoides,,,,,animal/wind,,tree,perennial,,
arnell,Acer,pseudoplatanus,,,,,animal/wind,,tree,perennial,,
arnell,Achillea,millefolium,,,,,animal,,forb/herb,perennial,,
arnell,Achillea,ptarmica,,,,,insect,,forb/herb,perennial,,
arnell,Actaea,spicata,,,,,animal,,,,,
arnell,Adoxa,moschatellina,,,,,animal,,forb/herb,perennial,,
arnell,Aegopodium,podagraria,,,,,wind,,forb/herb,perennial,,
arnell,Aesculus,hippocastanum,,,,,animal,,tree,perennial,,
arnell,Aethusa,cynapium,,,,,wind,,forb/herb,annual,,
arnell,Agrimonia,eupatoria,,,,,animal,,forb/herb,perennial,,
arnell,Agrostemma,githago,,,,,animal,,forb/herb,annual,,
arnell,Agrostis,canina,,,,,wind,,graminoid,perennial,,
arnell,Agrostis,capillaris,,,,,wind,,graminoid,perennial,,
arnell,Agrostis,spica-venti,,,,,wind,,graminoid,annual,,
arnell,Ajuga,pyramidalis,,,,,insect,,,,,
arnell,Alchemilla,vulgaris,,monticola,,,animal,,forb/herb,perennial,,
arnell,Alisma,plantago-aquatica,,,,,insect/wind,,forb/herb,perennial,,
arnell,Alliaria,petiolata,,,,,insect/wind,,forb/herb,annual/biennial,,
arnell,Allium,oleraceum,,,,,animal,,forb/herb,perennial,,
arnell,Allium,scorodoprasum,,,,,animal,,forb/herb,perennial,,
arnell,Allium,ursinum,,,,,animal,,,,,
arnell,Alnus,glutinosa,,,,,wind,,tree,perennial,,
arnell,Alnus,incana,,,,,wind,,tree/shrub,perennial,,
arnell,Alopecurus,geniculatus,,,,,wind,,graminoid,perennial,,
arnell,Alopecurus,pratensis,,,,,wind,,graminoid,perennial,,
arnell,Alyssum,alyssoides,,,,,insect/wind,,forb/herb,annual/biennial,,
arnell,Amelanchier,lamarckii,,,,,animal,,,,,
arnell,Anchusa,arvensis,,,,,animal,,forb/herb,annual/biennial,,
arnell,Anchusa,officinalis,,,,,animal,,forb/herb,biennial/perennial,,
arnell,Andromeda,polifolia,,,,,animal,,shrub/subshrub,perennial,,
arnell,Androsace,septentrionalis,,,,,animal,,forb/herb,annual/perennial,,
arnell,Anemone,hepatica,,,,,animal,,forb/herb,perennial,,
arnell,Anemone,nemorosa,,,,,animal,,forb/herb,perennial,,
arnell,Anemone,pulsatilla,,,,,animal,,,,,
