phylonum	name	genus	name	ThorPA	HosmerAbun	EatonAbun	PrimackAbun	Hosmer01	HomserData2	HosmerData3	HosmerData4	Waif1	Waif2	DeltaAbun_cont	Deer1	Deer2	DeerSp	PrimPA	Native	IPANEinvstat	IPANEinvstatAll	IPANEinvstat1	IPANEinvstatNat	Habitat	Habitat1_4	Habitat1	Habitat2	Habitat3	Habitat4	duration	height	minffd	mintemp	sdabun	sdperiod	sdsprdrate	sdvigor	vegsprdrate	seedwt	ThorMFD	HosmMFD	PrimMFD	SpringTemp	absSpringTemp	mWinterTemp	comWinterTemp\	WinterTemp	absWinterTemp	TPdeltaFlwr	HPdeltaFlwr	HPdeltaFlwr_2	THdeltaFlwr	syndrome1	syndrome2	syndromeBinary	sexuality	symmetry	nectaries	size	AvgLat	MinLat	tMinLat	MaxLat	tMaxlat	SDLat	tSDLat	tseedwt	tsize	tminffd	theight	habit	HabiatBinary	GF	Decid_Egreen	Needle_Broad	C3C4	N2fixer	logLL	logLMA	logNmass	logNarea	logPmass	logParea	logAmass	logAarea	logGs	logRdmass	logRdarea
270	Lupinus_perennis	Lupinus	perennis	1	5	1	0	0	0	0	0	0	0	-5	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	0.6	216	-47	missing	missing	missing	missing	missing	22.759	153.1666667	139.9411765	154	-0.7	0.7	-0.6	-0.6	-0.6	0.6	-0.833333333	-14.05882353	-14.05882353	-13.2254902	7	3	1	0	1	0	1.9	39.65785349	29.8016	1.474239581	46.9462	1.671600445	4.399828459	0.643435745	1.357153176	0.278753601	14.69693846	-0.22184875	3	1	H	missing	B	C3	Y	missing	1.730810546	0.515255934	0.24606648	missing	missing	2.457881897	1.193775138	2.499189703	missing	missing
376	Myrica_gale	Myrica	gale	1	5	5	0	0	0	0	0	0	0	-5	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	6	95	-52	3	1	1	2	2	1.6	116	106.875	150	-0.5	0.5	-0.7	-0.7	-0.7	0.7	-34	-43.125	-43.125	-9.125	8	1	0	2	0	0	0.3	46.27465956	missing	missing	missing	missing	missing	missing	0.204119983	-0.522878745	9.746794345	0.77815125	2	missing	S	D	missing	missing	missing	missing	1.990338855	missing	missing	missing	missing	missing	missing	missing	missing	missing
460	Pyrola_chlorantha	Pyrola	chlorantha	1	5	3	0	0	0	0	0	0	0	-5	no	no	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.4	missing	missing	missing	missing	missing	missing	missing	missing	171.25	164.1333333	168	-0.7	0.7	-0.7	-0.7	-0.7	0.7	3.25	-3.866666667	-3.866666667	-7.116666667	10	2	1	0	0	0	1.3	43.91467444	31.8908	1.503665414	59.433	1.774027653	4.087217225	0.61142772	missing	0.113943352	missing	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
254	Viola_blanda	Viola	blanda	1	5	1	0	0	0	0	0	0	0	-5	no	yes	no	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.1	127	-52	missing	missing	missing	missing	missing	0.957	124.6666667	118.2352941	119.75	-0.7	0.7	-0.5	-0.5	-0.5	0.5	4.916666667	-1.514705882	-1.514705882	-6.431372549	7	3	1	0	1	1	1.3	41.43396545	30.6843	1.48691622	59.433	1.774027653	3.680747715	0.565936051	-0.019088062	0.113943352	11.26942767	-1	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
253	Viola_labradorica	Viola	labradorica	1	5	2	0	0	0	0	0	0	0	-5	no	yes	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.2	missing	missing	missing	missing	missing	missing	missing	missing	138.4	126	157	-0.5	0.5	-0.5	-0.5	-0.5	0.5	-18.6	-31	-31	-12.4	7	3	1	0	1	1	1.9	41.66548141	30.4569	1.483685697	65.883	1.818773367	3.887272877	0.589645028	missing	0.278753601	missing	-0.698970004	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
8	Acorus_americanus	Acorus	americanus	1	5	1	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	5	90	-50	1	2	0	1	1	missing	155	149.9230769	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	-5.076923077	10	2	1	0	0	0	7.6	41.21723491	37.1943	1.57047639	48.867	1.689015678	2.267246132	0.35549867	missing	0.880813592	9.486832981	0.698970004	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
714	Antennaria_plantaginifolia	Antennaria	plantaginifolia	1	6	5	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	0.4	127	-46	missing	missing	missing	0	0	0.063	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	10	2	1	2	0	1	1	38.8225261	30.4569	1.483685697	48.7757	1.688203511	3.298396288	0.518302833	-1.200659451	0	11.26942767	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
785	Bidens_cernua	Bidens	cernua	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	1	3.2	85	-52	3	2	3	3	0	1.915	missing	239.4285714	241	missing	missing	missing	missing	missing	missing	missing	-1.571428571	-1.571428571	missing	10	2	1	0	0	1	2.5	41.50467744	29.3353	1.467390534	53.033	1.724546195	3.321927285	0.521390122	0.282168778	0.397940009	9.219544457	0.505149978	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
99	Clematis_virginiana	Clematis	virginiana	1	5	2	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	15	85	-52	1	2	1	1	2	1.496	206.75	205.5	231	-0.7	0.7	-0.4	-0.4	-0.4	0.4	-24.25	-25.5	-25.5	-1.25	10	2	1	0	0	0	2.5	39.24000411	27.4936	1.43923161	48.7757	1.688203511	4.046297545	0.607057816	0.174931594	0.397940009	9.219544457	1.176091259	4	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
193	Comandra_umbellata	Comandra	umbellata	1	6	5	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.4	127	-46	missing	missing	missing	missing	missing	89.122	147.3333333	138.6	150.5	-0.9	0.9	-0.6	-0.6	-0.6	0.6	-3.166666667	-11.9	-11.9	-8.733333333	10	2	1	0	0	1	0.3	41.09655842	31.5239	1.498639941	56.15	1.749349761	3.87320176	0.588070121	1.949984924	-0.522878745	11.26942767	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
