genus,species,native.exotic,latbi
Amphicarpa,bracteata,native,amphicarpa_bracteata
Andromeda,glaucophylla,native,andromeda_glaucophylla
Anemonella,thalictroides,native,anemonella_thalictroides
Arenaria,lateriflora,native,arenaria_lateriflora
Arisaema,atrorubens,native,arisaema_atrorubens
Aster,acuminatus,native,aster_acuminatus
Aster,cordifolius,native,aster_cordifolius
Aster,divaricatus,native,aster_divaricatus
Aster,dumosus,native,aster_dumosus
Aster,laevis,native,aster_laevis
Aster,linariifolius,native,aster_linariifolius
Aster,macrophyllus,native,aster_macrophyllus
Aster,novae-angliae,native,aster_novae-angliae
Aster,novi-belgii,native,aster_novi-belgii
Aster,patens,native,aster_patens
Aster,puniceus,native,aster_puniceus
Aster,radula,native,aster_radula
Aster,simplex,native,aster_simplex
Aster,umbellatus,native,aster_umbellatus
Aster,undulatus,native,aster_undulatus
Aster,vimineus,native,aster_vimineus
Calopogon,pulchellus,native,calopogon_pulchellus
Cassia,fasciculata,native,cassia_fasciculata
Cerastium,vulgatum,exotic,cerastium_vulgatum
Chrysanthemum,leucanthemum,exotic,chrysanthemum_leucanthemum
Circaea,quadrisulcata,native,circaea_quadrisulcata
Convolvulus,sepium,native,convolvulus_sepium
Cornus,stolonifera,native,cornus_stolonifera
Coronilla,varia,exotic,coronilla_varia
Desmodium,rigidum,native,desmodium_rigidum
Epilobium,angustifolium,native,epilobium_angustifolium
Erechtites,hieracifolia,native,erechtites_hieracifolia
Erigeron,canadensis,native,erigeron_canadensis
Eupatorium,dubium,native,eupatorium_dubium
Euphorbia,maculata,native,euphorbia_maculata
Gentiana,crinita,native,gentiana_crinita
Gerardia,paupercula,native,gerardia_paupercula
Gerardia,pedicularia,native,gerardia_pedicularia
Gnaphalium,obtusifolium,native,gnaphalium_obtusifolium
Habenaria,blephariglottis,native,habenaria_blephariglottis
Habenaria,clavellata,native,habenaria_clavellata
Habenaria,dilatata,native,habenaria_dilatata
Habenaria,fimbriata,native,habenaria_fimbriata
Habenaria,flava,native,habenaria_flava
Habenaria,lacera,native,habenaria_lacera
Habenaria,orbiculata,native,habenaria_orbiculata
Habenaria,psycodes,native,habenaria_psycodes
Hypericum,virginicum,native,hypericum_virginicum
Lechea,villosa,native,lechea_villosa
Lespedeza,intermedia,native,lespedeza_intermedia
Leucothoe,racemosa,native,leucothoe_racemosa
Liatris,borealis,native,liatris_borealis
Lilium,tigrinum,exotic,lilium_tigrinum
Linaria,canadensis,native,linaria_canadensis
Malus,malus,native,malus_malus
Megalodonta,beckii,native,megalodonta_beckii
Melilotus,alba,exotic,melilotus_alba
Nemopanthes,mucronata,NA,nemopanthes_mucronata
Nuphar,microphyllum,native,nuphar_microphyllum
Nuphar,variegata,native,nuphar_variegata
Oxalis,europaea,native,oxalis_europaea
Polygala,pauciflora,native,polygala_pauciflora
Potentilla,fruticosa,native,potentilla_fruticosa
Potentilla,palustris,native,potentilla_palustris
Pyrola,rotundifolia,native,pyrola_rotundifolia
Ranunculus,reptans,native,ranunculus_reptans
Rhus,copallina,native,rhus_copallina
Rhus,radicans,native,rhus_radicans
Roripa,islandica,NA,roripa_islandica
Sambucus,canadensis,native,sambucus_canadensis
Scutellaria,epilobiifolia,native,scutellaria_epilobiifolia
Senecio,aureus,native,senecio_aureus
Silene,cucubalus,exotic,silene_cucubalus
Smilacina,racemosa,native,smilacina_racemosa
Solidago,graminifolia,native,solidago_graminifolia
Spiranthes,gracilis,native,spiranthes_gracilis
Thalictrum,polygamum,native,thalictrum_polygamum
Utricularia,vulgaris,native,utricularia_vulgaris
Vaccinium,vacillans,native,vaccinium_vacillans
Viburnum,cassinoides,native,viburnum_cassinoides
Viola,conspersa,native,viola_conspersa
