"genus","species","invasive","nativity","site"
"Acroptilon","repens","invasive","exotic","konza"
"Centaurea","repens","invasive",NA,"konza"
"Ambrosia","grayi","invasive","native","konza"
"Cardaria","draba","invasive","exotic","konza"
"Carduus","nutans","invasive","exotic","konza"
"Cirsium","arvense","invasive","exotic","konza"
"Convolvulus","arvensis","invasive","exotic","konza"
"Elymus","repens","invasive","exotic","konza"
"Agropyron","repens","invasive",NA,"konza"
"Euphorbia","esula","invasive","exotic","konza"
"Hoffmannseggia","glauca","invasive","native","konza"
"Hoffmannseggia","densiflora","invasive",NA,"konza"
"Lespedeza","cuneata","invasive","exotic","konza"
"Pueraria","montana","invasive","exotic","konza"
"Pueraria","lobata","invasive",NA,"konza"
"Sorghum","halepense","invasive","exotic","konza"
"Acer","platanoides","invasive","exotic","concord"
"Acer","pseudoplatanus","invasive","exotic","concord"
"Aeginetia","L.","invasive",NA,"concord"
"Aegopodium","podagraria","invasive","exotic","concord"
"Ageratina","adenophora","invasive","exotic","concord"
"Ailanthus","altissima","invasive","exotic","concord"
"Alectra","Thunb.","invasive",NA,"concord"
"Alliaria","petiolata","invasive","exotic","concord"
"Alternanthera","sessilis","invasive","exotic","concord"
"Ampelopsis","brevipedunculata","invasive","exotic","concord"
"Anthriscus","sylvestris","invasive","exotic","concord"
"Arthraxon","hispidus","invasive","exotic","concord"
"Asphodelus","fistulosus","invasive","exotic","concord"
"Avena","sterilis","invasive","exotic","concord"
"Azolla","pinnata","invasive","exotic","concord"
"Berberis","thunbergii","invasive","exotic","concord"
"Berberis","vulgaris","invasive","exotic","concord"
"Cabomba","caroliniana","invasive","native","concord"
"Cardamine","impatiens","invasive","exotic","concord"
"Carex","kobomugi","invasive","exotic","concord"
"Carthamus","oxyacanthus","invasive","exotic","concord"
"Carthamus","oxyacantha","invasive",NA,"concord"
"Caulerpa","taxifolia","invasive","exotic","concord"
"Celastrus","orbiculatus","invasive","exotic","concord"
"Centaurea","stoebe","invasive","exotic","concord"
"Centaurea","biebersteinii","invasive",NA,"concord"
"Chrysopogon","aciculatus","invasive",NA,"concord"
"Commelina","benghalensis","invasive","exotic","concord"
"Crupina","vulgaris","invasive","exotic","concord"
"Cuscuta","L.","invasive",NA,"concord"
"Cynanchum","louiseae","invasive","exotic","concord"
"Cynanchum","rossicum","invasive","exotic","concord"
"Digitaria","abyssinica","invasive",NA,"concord"
"Digitaria","scalarum","invasive",NA,"concord"
"Digitaria","velutina","invasive","exotic","concord"
"Drymaria","arenarioides","invasive",NA,"concord"
"Egeria","densa","invasive","exotic","concord"
"Eichhornia","azurea","invasive","exotic","concord"
"Elaeagnus","umbellata","invasive","exotic","concord"
"Emex","australis","invasive","exotic","concord"
"Emex","spinosa","invasive","exotic","concord"
"Epilobium","hirsutum","invasive","exotic","concord"
"Euonymus","alatus","invasive","exotic","concord"
"Euphorbia","cyparissias","invasive","exotic","concord"
"Euphorbia","esula","invasive","exotic","concord"
"Festuca","filiformis","invasive","exotic","concord"
"Frangula","alnus","invasive","exotic","concord"
"Galega","officinalis","invasive","exotic","concord"
"Glaucium","flavum","invasive","exotic","concord"
"Glyceria","maxima","invasive","exotic","concord"
"Heracleum","mantegazzianum","invasive","exotic","concord"
"Hesperis","matronalis","invasive","exotic","concord"
"Homeria","Vent.","invasive",NA,"concord"
"Humulus","japonicus","invasive","exotic","concord"
"Hydrilla","verticillata","invasive","exotic","concord"
"Hygrophila","polysperma","invasive","exotic","concord"
"Imperata","brasiliensis","invasive","exotic","concord"
"Ipomoea","aquatica","invasive","exotic","concord"
"Iris","pseudacorus","invasive","exotic","concord"
"Ischaemum","rugosum","invasive","exotic","concord"
"Lagarosiphon","major","invasive",NA,"concord"
"Lepidium","latifolium","invasive","exotic","concord"
