Symbol	Scientific Name	Noxious Common Name	Federal Noxious Status†	Native Status*
AEGIN	 Aeginetia NA L.		NW	
AGAD2	 Ageratina adenophora (Spreng.) King & H. Rob.	crofton weed	NW	"L48 (I), HI (I)"
ALECT2	 Alectra NA Thunb.		NW	
ALSE4	 Alternanthera sessilis (L.) R. Br. ex DC.	sessile joyweed	NW	"L48 (I), HI (I), PR (N), VI (N)"
ASFI2	 Asphodelus fistulosus L.	onionweed	NW	L48 (I)
AVST	 Avena sterilis L.	animated oat	NW	"L48 (I), CAN (W)"
AZPI	 Azolla pinnata R. Br.	mosquito fern	NW	L48 (I)
CAOX6	 Carthamus oxyacanthus M. Bieb.			L48 (I)
CAOX2	" Carthamus oxyacantha M. Bieb., orth. var."	wild safflower	NW	
CATA5	 Caulerpa taxifolia (Vahl) C. Agardh1		NW	L48 (I)
CHAC	 Chrysopogon aciculatus (Retz.) Trin.	pilipiliula	NW	HI (I)
COBE2	 Commelina benghalensis L.	Benghal dayflower	NW	"L48 (I), HI (I), PR (I)"
CRVU2	 Crupina vulgaris Cass.	common crupina	NW	L48 (I)
CUSCU	 Cuscuta NA L.2	dodder	NW	
DIAB	 Digitaria abyssinica (Hochst. ex A. Rich.) Stapf			HI (I)
DISC5	 Digitaria scalarum (Schweinf.) Chiov.	African couch grass	NW	
DIVE2	 Digitaria velutina (Forssk.) P. Beauv.	velvet fingergrass	NW	L48 (I)
DRAR7	 Drymaria arenarioides Humb. & Bonpl. ex Schult. [excluded]	alfombrilla	NW	
EIAZ2	 Eichhornia azurea (Sw.) Kunth	anchored waterhyacinth	NW	"L48 (I), PR (I)"
EMAU	 Emex australis Steinh.	three-cornered jack	NW	L48 (I)
EMSP	 Emex spinosa (L.) Campd.	devil's thorn	NW	"L48 (I), HI (I)"
GAOF	 Galega officinalis L.	goatsrue	NW	"L48 (I), CAN (I)"
HEMA17	 Heracleum mantegazzianum Sommier & Levier	giant hogweed	NW	"L48 (I), CAN (I)"
HOMER	 Homeria Vent.	Cape tulip	NW	
HYVE3	 Hydrilla verticillata (L. f.) Royle	hydrilla	NW	L48 (I)
HYPO3	 Hygrophila polysperma (Roxb.) T. Anderson	Miramar weed	NW	L48 (I)
IMBR	 Imperata brasiliensis Trin.	Brazilian satintail	NW	"L48 (I), PR (I)"
IMCY	 Imperata cylindrica (L.) P. Beauv.	cogongrass	NW	L48 (I)
IPAQ	 Ipomoea aquatica Forssk.	Chinese waterspinach	NW	"L48 (I), HI (I), PR (I)"
ISRU	 Ischaemum rugosum Salisb.	murain-grass	NW	L48 (I)
LAMA15	 Lagarosiphon major (Ridley) Moss	oxygen weed	NW	
LECH2	 Leptochloa chinensis (L.) Nees [excluded]	Asian sprangletop	NW	
LISE3	 Limnophila sessiliflora (Vahl) Blume	ambulia	NW	L48 (I)
LYFE4	 Lycium ferocissimum Miers			L48 (I)
LYFE3	" Lycium ferrocissimum Miers, orth. var."	African boxthorn	NW	
LYFL7	 Lygodium flexuosum (L.) Sw.	maidenhair creeper	NW	
MEQU	 Melaleuca quinquenervia (Cav.) S.F. Blake	melaleuca	NW	"L48 (I), HI (I), PR (I)"
MEMA	 Melastoma malabathricum L.		NW	HI (I)
MICO16	 Mikania cordata (Burm. f.) B.L. Rob. [excluded]	mile-a-minute	NW	
MIMI5	 Mikania micrantha Kunth	mile-a-minute	NW	"L48 (I), PR (N)"
MIDI8	 Mimosa diplotricha C. Wright			"HI (I), PR (I)"
MIIN80	" Mimosa invisa Mart., non Mart. ex Colla"	giant sensitive plant	NW	
MIPE2	 Mimosa pellita Kunth ex Willd.			"L48 (N), PR (N)"
MIPI	 Mimosa pigra auct. non L.	catclaw mimosa	NW	
MOHA2	 Monochoria hastata (L.) Solms [excluded]	monochoria	NW	
MOVA	 Monochoria vaginalis (Burm. f.) C. Presl ex Kunth	pickerel weed	NW	"L48 (I), HI (I)"
NATR3	 Nassella trichotoma (Nees) Hack.	serrated tussock	NW	L48 (I)
OPAU10	 Opuntia aurantiaca Lindl.	jointed prickly pear	NW	
OROBA	 Orobanche NA L.2	broomrape	NW	
ORLO3	 Oryza longistaminata A. Chev. & Roehr.	red rice	NW	
ORPU13	 Oryza punctata Kotzchy ex Steud.	red rice	NW	
ORRU	 Oryza rufipogon Griffiths	red rice	NW	L48 (I)
OTAL	 Ottelia alismoides (L.) Pers.	duck-lettuce	NW	L48 (I)
PASC6	 Paspalum scrobiculatum L.	Kodo-millet	NW	"L48 (I), HI (I)"
PECL2	 Pennisetum clandestinum Hochst. ex Chiov.	kikuyugrass	NW	"L48 (I), HI (I), PR (I), VI (I)"
PEMA80	 Pennisetum macrourum Trin.	African feathergrass	NW	"L48 (I), HI (I)"
PEPE24	 Pennisetum pedicellatum Trin.	kyasuma-grass	NW	L48 (I)
PEPO14	 Pennisetum polystachion (L.) Schult.			"L48 (I), HI (I), PR (I)"
PEPO4	" Pennisetum polystachyon (L.) Schult., orth. var."	missiongrass	NW	
PRAL11	 Prosopis alpataco Phil.	mesquite	NW	
PRAR6	 Prosopis argentina Burkart	mesquite	NW	
PRBU2	 Prosopis burkartii Muñoz	mesquite	NW	
