"genus","species","native.exotic","latbi"
"Abelia","grandiflora","exotic","abelia_grandiflora"
"Abelmoschus","esculentus","exotic","abelmoschus_esculentus"
"Abelmoschus","manihot",NA,"abelmoschus_manihot"
"Abelmoschus","moschatus",NA,"abelmoschus_moschatus"
"Abies","alba","exotic","abies_alba"
"Abies","amabilis","native","abies_amabilis"
"Abies","balsamea","native","abies_balsamea"
"Abies","bracteata","native","abies_bracteata"
"Abies","concolor","native","abies_concolor"
"Abies","fraseri","native","abies_fraseri"
"Abies","grandis","native","abies_grandis"
"Abies","guatemalensis",NA,"abies_guatemalensis"
"Abies","homolepis","exotic","abies_homolepis"
"Abies","lasiocarpa","native","abies_lasiocarpa"
"Abies","magnifica","native","abies_magnifica"
"Abies","procera","native","abies_procera"
"Abies","shastensis","native","abies_shastensis"
"Abies","veitchii",NA,"abies_veitchii"
"Abietinella","abietina",NA,"abietinella_abietina"
"Abildgaardia","ovata","native","abildgaardia_ovata"
"Abronia","alpina","native","abronia_alpina"
"Abronia","ameliae","native","abronia_ameliae"
"Abronia","ammophila","native","abronia_ammophila"
"Abronia","angustifolia","native","abronia_angustifolia"
"Abronia","argillosa","native","abronia_argillosa"
"Abronia","bigelovii","native","abronia_bigelovii"
"Abronia","bolackii","native","abronia_bolackii"
"Abronia","carletonii","native","abronia_carletonii"
"Abronia","elliptica","native","abronia_elliptica"
"Abronia","fragrans","native","abronia_fragrans"
"Abronia","gracilis","native","abronia_gracilis"
"Abronia","insularis","native","abronia_insularis"
"Abronia","latifolia","native","abronia_latifolia"
"Abronia","macrocarpa","native","abronia_macrocarpa"
"Abronia","maritima","native","abronia_maritima"
"Abronia","mellifera","native","abronia_mellifera"
"Abronia","minor","native","abronia_minor"
"Abronia","nana","native","abronia_nana"
"Abronia","neurophylla","native","abronia_neurophylla"
"Abronia","pogonantha","native","abronia_pogonantha"
"Abronia","turbinata","native","abronia_turbinata"
"Abronia","umbellata","native","abronia_umbellata"
"Abronia","villosa","native","abronia_villosa"
"Abrothallus","bertianus",NA,"abrothallus_bertianus"
"Abrothallus","bryoriarum",NA,"abrothallus_bryoriarum"
"Abrothallus","cetrariae",NA,"abrothallus_cetrariae"
"Abrothallus","cladoniae",NA,"abrothallus_cladoniae"
"Abrothallus","parmeliarum",NA,"abrothallus_parmeliarum"
"Abrothallus","peyritschii",NA,"abrothallus_peyritschii"
"Abrothallus","prodiens",NA,"abrothallus_prodiens"
"Abrothallus","welwitschii",NA,"abrothallus_welwitschii"
"Abrus","precatorius","exotic","abrus_precatorius"
"Absconditella","sphagnorum",NA,"absconditella_sphagnorum"
"Absconditella","trivialis",NA,"absconditella_trivialis"
"Abutilon","abutiloides","native","abutilon_abutiloides"
"Abutilon","auritum",NA,"abutilon_auritum"
"Abutilon","berlandieri","native","abutilon_berlandieri"
"Abutilon","eremitopetalum",NA,"abutilon_eremitopetalum"
"Abutilon","fruticosum","native","abutilon_fruticosum"
"Abutilon","glabriflorum",NA,"abutilon_glabriflorum"
"Abutilon","grandifolium",NA,"abutilon_grandifolium"
"Abutilon","hirtum","native","abutilon_hirtum"
"Abutilon","hulseanum","native","abutilon_hulseanum"
"Abutilon","hypoleucum","native","abutilon_hypoleucum"
"Abutilon","incanum","native","abutilon_incanum"
"Abutilon","indicum",NA,"abutilon_indicum"
"Abutilon","malacum","native","abutilon_malacum"
"Abutilon","mauritianum",NA,"abutilon_mauritianum"
"Abutilon","megapotamicum",NA,"abutilon_megapotamicum"
"Abutilon","menziesii",NA,"abutilon_menziesii"
"Abutilon","mollicomum","native","abutilon_mollicomum"
"Abutilon","palmeri","native","abutilon_palmeri"
"Abutilon","parishii","native","abutilon_parishii"
"Abutilon","parvulum","native","abutilon_parvulum"
"Abutilon","permolle","native","abutilon_permolle"
"Abutilon","reventum","native","abutilon_reventum"
"Abutilon","sandwicense",NA,"abutilon_sandwicense"
"Abutilon","theophrasti","exotic","abutilon_theophrasti"
"Abutilon","thurberi","native","abutilon_thurberi"
"Abutilon","trisulcatum","native","abutilon_trisulcatum"
"Abutilon","wrightii","native","abutilon_wrightii"
"Acacia","abyssinica",NA,"acacia_abyssinica"
"Acacia","acinacea",NA,"acacia_acinacea"
"Acacia","aciphylla",NA,"acacia_aciphylla"
"Acacia","aculeatissima",NA,"acacia_aculeatissima"
"Acacia","acuminata",NA,"acacia_acuminata"
"Acacia","adunca",NA,"acacia_adunca"
"Acacia","alata",NA,"acacia_alata"
"Acacia","ampliceps",NA,"acacia_ampliceps"
"Acacia","anegadensis",NA,"acacia_anegadensis"
"Acacia","aneura",NA,"acacia_aneura"
"Acacia","angustissima","native","acacia_angustissima"
"Acacia","arenaria",NA,"acacia_arenaria"
"Acacia","auriculiformis","exotic","acacia_auriculiformis"
"Acacia","baileyana","exotic","acacia_baileyana"
"Acacia","beckleri",NA,"acacia_beckleri"
"Acacia","berlandieri","native","acacia_berlandieri"
"Acacia","binervata",NA,"acacia_binervata"
"Acacia","boomanii",NA,"acacia_boomanii"
"Acacia","brachybotrya",NA,"acacia_brachybotrya"
"Acacia","buxifolia",NA,"acacia_buxifolia"
"Acacia","caesiella",NA,"acacia_caesiella"
"Acacia","calamifolia",NA,"acacia_calamifolia"
"Acacia","cambagei",NA,"acacia_cambagei"
"Acacia","cardiophylla",NA,"acacia_cardiophylla"
"Acacia","catechu",NA,"acacia_catechu"
"Acacia","caven",NA,"acacia_caven"
"Acacia","chinchellensis",NA,"acacia_chinchellensis"
"Acacia","choriophylla","native","acacia_choriophylla"
"Acacia","cibaria",NA,"acacia_cibaria"
"Acacia","cognata",NA,"acacia_cognata"
"Acacia","colletioides",NA,"acacia_colletioides"
"Acacia","collinsii",NA,"acacia_collinsii"
"Acacia","confusa",NA,"acacia_confusa"
"Acacia","conspersa",NA,"acacia_conspersa"
"Acacia","constricta","native","acacia_constricta"
"Acacia","continua",NA,"acacia_continua"
"Acacia","cornigera","exotic","acacia_cornigera"
"Acacia","craspedocarpa",NA,"acacia_craspedocarpa"
"Acacia","cultriformis",NA,"acacia_cultriformis"
"Acacia","cupularis",NA,"acacia_cupularis"
"Acacia","cyclops","exotic","acacia_cyclops"
"Acacia","davyi",NA,"acacia_davyi"
"Acacia","dealbata","exotic","acacia_dealbata"
"Acacia","deanei",NA,"acacia_deanei"
"Acacia","decora",NA,"acacia_decora"
